Chunk	Chunk Root	Chunk Dep	Chunk Head
the day	day	pobj	until
my departure	departure	pobj	of
the mountains	mountains	pobj	from
I	I	nsubj	found
it	it	dobj	found
the same place	place	pobj	in
it	it	nsubj	found
it	it	nsubj	be
an adult male	male	attr	be
the above species	species	pobj	of
the most northerly record	record	attr	is
the Rivoli Hummingbird	Hummingbird	pobj	for
the time	time	pobj	considering
its capture	capture	pobj	of
it	it	nsubj	seems
it	it	nsubj	breeding
the vicinity	vicinity	pobj	in
Trochilus alexandri Boure	Boure	appos	38
"
Blackchinned Hummingbird"	Hummingbird	ROOT	Hummingbird
the Catalinas	Catalinas	pobj	in
"
One shot"	shot	ROOT	shot
Tucson	Tucson	pobj	at
Oracle	Oracle	pobj	at
The love antics	antics	nsubj	are
this bird	bird	pobj	of
an open space	space	dobj	Selecting
the trees	trees	pobj	among
the immediate vicinity	vicinity	pobj	in
its nest	nest	pobj	of
the male	male	nsubj	starts
his perch	perch	pobj	from
the willows	willows	pobj	among
a shrill continuous trilling note	note	dobj	uttering
a strange proportion	proportion	dobj	bears
its tone	tone	pobj	in
quickness	quickness	conj	tone
the varying rapidity	rapidity	pobj	to
flight	flight	pobj	of
the farthest limits	limits	dobj	reached
its chosen pleasure ground	ground	pobj	of
an elevation	elevation	pobj	at
the nearest treetops	treetops	pobj	of
it	it	nsubj	describes
a headlong parabolic curve	curve	dobj	describes
the ground	ground	dobj	grazing
a diminishing cadence	cadence	pobj	with
voice	voice	pobj	of
wings	wings	conj	voice
the treetops	treetops	pobj	to
the opposite side	side	pobj	on
it	it	nsubj	repeats
the manoeuvre	manoeuvre	dobj	repeats
its former position	position	dobj	regaining
These evolutions	evolutions	nsubjpass	kept
rapid succession	succession	pobj	in
as many as thirty flights	flights	nsubjpass	taken
scarcely a rest	rest	pobj	with
The geometric exactness	exactness	nsubj	is
the curves	curves	pobj	of
the bird	bird	pobj	by
The nests	nests	nsubjpass	found
the Blackchinned Hummer	Hummer	pobj	of
my experience	experience	nsubj	agrees
Mr. Scott	Scott	pobj	of
the scarcity	scarcity	pobj	regarding
nests	nests	pobj	of
the other hummingbirds	hummingbirds	pobj	of
the Catalina Mountains	Mountains	dobj	inhabit
"
Broadtailed Hummingbird"	Hummingbird	ROOT	Hummingbird
A common lird	lird	attr	"
"
I	I	nsubj	found
a pair	pair	nsubj	building
an oak tree	tree	pobj	in
a dry watercourse	watercourse	pobj	beside
the nest	nest	dobj	discover
I	I	nsubj	killed
the female	female	dobj	killed
whose body	body	nsubj	contained
a welldeveloped egg	egg	dobj	contained
"
40.
Tyrannus verticalis Say.
Arkansas Kingbird"	Kingbird	ROOT	Kingbird
the plains	plains	pobj	from
a few hundred feet	feet	pobj	within
the pines	pines	pobj	of
"
Cassin's Kingbird"	Kingbird	ROOT	Kingbird
the oaks	oaks	pobj	in
Oracle	Oracle	pobj	near
Myiarchus mexicanus magister Ridgw	Ridgw	oprd	"
"
This bird	bird	nsubj	common
Avas	Avas	nsubj	common
It	It	nsubjpass	seen
an elevation	elevation	pobj	at
a thousand feet	feet	pobj	of
Tucson	Tucson	pobj	above
Myiarchus cinerascens Lawr	Lawr	appos	43
Tucson	Tucson	pobj	from
t'le lower regions	regions	pobj	to
the pine belt	belt	pobj	of
"41.
Sayornis saya Bonap"	Bonap	attr	"
"
Say's Pliojbe	Pliojbe	appos	Bonap
the oak woods	woods	pobj	in
"
45.
Sayornis nigricans Swains"	Swains	ROOT	Swains
Black I'hcwbe	I'hcwbe	attr	"
"
Tucson	Tucson	pobj	at
"
Coues' Flycatcher"	Flycatcher	ROOT	Flycatcher
the pine belt	belt	pobj	in
they	they	nsubj	were
the most abundant Flycatcher	Flycatcher	attr	were
Contopus richardsonii Swain	Swain	appos	47
the ine	ine	pobj	in
"48.
Empidonax difficilis Baird"	Baird	oprd	"
"
"
Western Flycatcher"	Flycatcher	ROOT	Flycatcher
Two nests	nests	nsubjpass	observed
several mated jiairs	jiairs	conj	young
the Catalina pines	pines	pobj	in
Empidonax pusillus Swains	Swains	appos	49
A pair	pair	nsubjpass	taken
a willow clump	clump	pobj	in
the banks	banks	pobj	on
the Santa Clara	Clara	pobj	of
They	They	nsubj	had
a nest	nest	dobj	had
it	it	nsubjpass	found
Pyrocephalus rubineus mexicanus Scl	Scl	appos	50
The greatest altitude	altitude	nsubj	was
I	I	nsubj	secured
this Flycatcher	Flycatcher	dobj	secured
Oracle	Oracle	pobj	of
nearly 6000 feet	feet	appos	that
They	They	nsubj	were
you	you	nsubj	neared
the jjlains	jjlains	dobj	neared
Scorched Horned Lark	Lark	attr	"
"
Horned Larks	Larks	nsubj	were
I	I	nsubj	observed
small companies	companies	dobj	observed
the higher plains	plains	pobj	on
mesas	mesas	conj	plains
Tucson	Tucson	pobj	between
the oak belt	belt	conj	Tucson
I	I	nsubj	succeeded
a young bird	bird	dobj	securing
This species	species	nsubjpass	confined
the pine belt	belt	pobj	to
my stay	stay	pobj	during
Its scolding	scolding	nsubj	is
a peculiar combination	combination	attr	is
hiss snarl	snarl	pobj	of
sneer	sneer	conj	snarl
Aphelocoma woodhousei Baird	Baird	appos	53
"
Woodhouse's Jay"	Jay	ROOT	Jay
these wary birds	birds	pobj	of
a mile	mile	pobj	within
Oracle	Oracle	pobj	of
the oak belt	belt	pobj	in
Aphelocoma sieberi arizonae Ridgw	Ridgw	oprd	noted
Arizona Jay	Jay	oprd	noted
The strict coincidence	coincidence	nsubj	is
the range	range	pobj	of
this abundant species	species	pobj	of
the limits	limits	pobj	with
the oak belt	belt	pobj	of
the Longcrested Jay	Jay	pobj	of
the pines	pines	pobj	with
Corvus corax sinuatus Wagl	Wagl	oprd	noted
American Raven	Raven	oprd	noted
Several Ravens	Ravens	nsubj	visited
the water tank	tank	dobj	visited
corral	corral	conj	tank
Oracle	Oracle	pobj	at
I	I	nsubj	saw
them	them	nsubj	soaring
the foothills	foothills	pobj	among
"
Whitenecked Raven"	Raven	ROOT	Raven
The above remarks	remarks	nsubj	apply
this species	species	pobj	to
the difference	difference	pobj	with
themselves	themselves	dobj	betook
higher altitudes	altitudes	pobj	to
the nearest canon	canon	pobj	down
the San Pedro	Pedro	pobj	toward
Molothrus	Molothrus	ROOT	Molothrus
ater obscurus Gmel	Gmel	appos	Molothrus
"
Dwarf Cowbird"	Cowbird	ROOT	Cowbird
the valley	valley	pobj	in
Oracle	Oracle	pobj	around
"58.
Agelaius phoeniceus sonoriensis Ridgw"	Ridgw	attr	"
"
"
Sonoran Redwing"	Redwing	ROOT	Redwing
These Blackbirds	Blackbirds	nsubj	were
the watercourses	watercourses	pobj	along
the .Santa Clara	Clara	pobj	of
Oriole	Oriole	conj	were
their young	young	dobj	leading
the oaks	oaks	pobj	among
Oracle	Oracle	pobj	around
A pair	pair	nsubjpass	seen
the mesquite	mesquite	pobj	in
the oak belt	belt	dobj	bordering
"
60.
Icterus cucullatus nelsoni Ridgw.
Arizona Hooded Oriole"	Oriole	ROOT	Oriole
the range	range	nsubj	extends
this species	species	pobj	of
Tucson	Tucson	pobj	from
the lower edge	edge	pobj	to
Catalina pines	pines	pobj	of
it	it	nsubj	was
the oak belt	belt	pobj	in
"
Bullock's Oriole"	Oriole	ROOT	Oriole
None	None	appos	Oriole
the Catalina region	region	pobj	in
the heavy chaparral	chaparral	pobj	in
the Santa Clara Valley	Valley	pobj	of
they	they	nsubj	breed
the cry	cry	dobj	imitating
a young bird	bird	pobj	of
myself	myself	dobj	concealing
the bushes	bushes	pobj	in
I	I	nsubj	foiled
a croAvd	croAvd	dobj	bring
these usually timid birds	birds	pobj	of
easy range	range	pobj	within
"62.
Carpodacus mexicanus frontalis Say.
House Finch"	Finch	attr	"
"
Very abundant to near the lower pine limit	limit	dobj	"
"
males	males	nsubj	singing
every stage	stage	pobj	in
growth	growth	pobj	of
their call notes	notes	pobj	of
their actions	actions	conj	Some
habits	habits	conj	actions
Passer domesticvs	domesticvs	pobj	of
Several rather large flocks	flocks	nsubjpass	seen
Tucson	Tucson	pobj	about
the oak belt	belt	pobj	in
two specimens	specimens	nsubjpass	secured
Western Lark Sparrow	Sparrow	dobj	are
the oak belt	belt	pobj	in
the pine belt	belt	pobj	in
Blackthroated Sparrow	Sparrow	conj	are
Tucson	Tucson	pobj	from
Oracle	Oracle	pobj	above
Mr. Scott	Scott	nsubj	makes
no allusion	allusion	dobj	makes
this Blackbird	Blackbird	pobj	to
his paper	paper	pobj	in
the only species	species	nsubj	ntientioned
Agelahis	Agelahis	pobj	of
A. giibernator Auk	Auk	attr	being
Only one sptcimen	sptcimen	nsubjpass	contained
an adult male	male	appos	sptcimen
Mr. Rhoads' collection	collection	pobj	in
it	it	nsubj	is
which race	race	pcomp	to
it	it	nsubjpass	referred
The measurements	measurements	nsubj	seem
truert'V	truert'V	pobj	to
sonoriensis	sonoriensis	pobj	to
the wing	wing	nsubj	being
"
W. S."	S.	ROOT	S.
"
INTATURAL SCIENCES"	SCIENCES	ROOT	SCIENCES
FHILADELPHIA	FHILADELPHIA	pobj	OF
Peucaea	Peucaea	ROOT	Peucaea
arizonae Kiclgw	Kiclgw	appos	Peucaea
"
Arizona Sparrow"	Sparrow	ROOT	Sparrow
This species	species	nsubj	frequented
the thick bunches	bunches	dobj	frequented
beargrass	beargrass	pobj	of
the lower edge	edge	pobj	below
the oak belt	belt	pobj	of
they	they	nsubj	breeding
Their habits	habits	nsubj	are
no time	time	pobj	at
they	they	nsubj	leave
the ground	ground	dobj	leave
the lowly beargrass stems	stems	pobj	on
a rather sweet song	song	dobj	utter
Four individuals	individuals	nsubjpass	seen
a hundred yards	yards	pobj	within
I	I	nsubj	see
this species	species	dobj	hear
a most careful search	search	nsubjpass	made
the neighborhood	neighborhood	pobj	in
It	It	nsubjpass	mentioned
Mr. Scott's paper	paper	pobj	in
Sparrow	Sparrow	conj	mentioned
the oak belt	belt	pobj	throughout
lowest portion	portion	conj	belt
the pine belt	belt	pobj	of
Desert Song Sparrow	Sparrow	appos	69
the near vicinity	vicinity	pobj	in
Avater	Avater	pobj	of
the Santa Clara Valley	Valley	pobj	in
Pipilo maculatus megalonyx Baird	Baird	appos	70
the pines	pines	pobj	in
the mountain tops	tops	pobj	to
Canon Towhee	Towhee	appos	Baird
the forestclad areas	areas	pobj	in
the oaks	oaks	nsubj	reach
the pines	pines	pobj	into
The resemblance	resemblance	nsubj	is
this bird's song	song	pobj	of
certain notes	notes	pobj	to
the Cardinal's repertory	repertory	pobj	in
Pipilo aberti Baird	Baird	appos	72
Abert's Towhee	Towhee	ROOT	Towhee
This species	species	nsubj	replaces
the neighborhood	neighborhood	pobj	in
Tucson	Tucson	pobj	of
One pair	pair	nsubjpass	secured
Tucson	Tucson	pobj	at
Tucson	Tucson	pobj	near
the chaparral	chaparral	pobj	in
the Santa Clara Valley	Valley	pobj	of
"
Blackheaded Grosbeak"	Grosbeak	ROOT	Grosbeak
the Catalina pines	pines	pobj	in
very high altitudes	altitudes	pobj	to
"
AVestem Blue Grosbeak"	Grosbeak	ROOT	Grosbeak
the valley	valley	pobj	In
the Santa Clara	Clara	pobj	of
this Grosbeak	Grosbeak	nsubjpass	seen
I	I	nsubj	shot
a male	male	dobj	shot
female	female	conj	male
building material	material	dobj	carrying
willow thicket	thicket	pobj	intca
the river bank	bank	pobj	on
Passerina amceua Say	Say	appos	77
Lazuli Finch	Finch	appos	77
the railroad station	station	pobj	near
"
78.
Piranga ludoviciana Wils"	Wils	ROOT	Wils
"
Louisiana Tanager"	Tanager	ROOT	Tanager
the Catalina pines	pines	pobj	in
"
Piranga hepatioa Swains"	Swains	ROOT	Swains
"
Hepatic Tanager"	Tanager	ROOT	Tanager
the same locality	locality	pobj	In
the upper oak belt	belt	pobj	in
"Piranga rubra cooperi Ridgw.
Cooper's Tanager"	Tanager	appos	80
the central portion	portion	pobj	between
the oak belt	belt	pobj	of
the Santa Clara Valley	Valley	conj	portion
the lowland regions	regions	pobj	in
Silver Lake	Lake	pobj	about
the foothills	foothills	pobj	on
the valley	valley	pobj	in
the Catalina mountain tops	tops	pobj	on
it	it	nsubj	breeds
holes	holes	pobj	in
its eastern congener	congener	pobj	like
T. bicolor	bicolor	appos	congener
Clivicola riparia Linn	Linn	oprd	Ranges
These two species	species	nsubjpass	found
the higher banks	banks	pobj	along
the Santa Clara	Clara	pobj	of
tlie Tucson suburbs	suburbs	pobj	in
"
86.
Phainopepla nitens Swains"	Swains	ROOT	Swains
Phainopepla	Phainopepla	appos	Swains
all the region	region	pobj	throughout
6000 feet	feet	pobj	to
Whiterumped Shrike	Shrike	appos	Swains
the lowlands	lowlands	pobj	from
Oracle	Oracle	pobj	as
"
Warbling Vireo"	Vireo	ROOT	Vireo
A pair	pair	nsubjpass	found
these birds	birds	pobj	of
a maple	maple	pobj	in
Mt.	Mt.	pobj	on
Lemon	Lemon	pobj	"
"
8000 feet	feet	pobj	at
"
Vireo solitarius plumbeus Coues"	Coues	ROOT	Coues
"
Plumbeous Vireo"	Vireo	ROOT	Vireo
the pine belt	belt	pobj	In
the Catalinas	Catalinas	pobj	of
I	I	nsubj	found
the Plumbeous Vireo	Vireo	nsubj	abundant
habits	habits	pobj	In
it	it	nsubj	reminded
me	me	dobj	reminded
V. solitarius	solitarius	pobj	of
Only one specimen	specimen	nsubjpass	secured
a young male	male	appos	specimen
Mr. Rhoads	Rhoads	pobj	by
it	it	nsubj	is
its affinities	affinities	dobj	determine
certainty	certainty	pobj	with
it	it	nsubj	seems
this race	race	dobj	approach
W. S. J' s ff	ff	dobj	"
"
its fondness	fondness	pobj	in
the tops	tops	pobj	for
the highest evergreens	evergreens	pobj	of
The song	song	nsubj	is
our eastern bird	bird	pobj	of
a resemblance	resemblance	pobj	despite
"
90 Vireo bellii pusillus Coues.
Least 'ireo"	ireo	ROOT	ireo
The Least Vireo	Vireo	nsubjpass	found
the chaparral	chaparral	pobj	in
vacant lots	lots	pobj	of
Tucson	Tucson	pobj	around
similar places	places	pobj	in
the Santa Clara Valley	Valley	pobj	in
the taxonomic differences	differences	pobj	of
Mr. Ridgway's claim	claim	dobj	warrant
full specific rank	rank	pobj	to
this Vireo	Vireo	pobj	for
nothing	nothing	attr	is
its song	song	pobj	in
habits	habits	conj	song
this position	position	dobj	support
"
Gray Vireo"	Vireo	ROOT	Vireo
the oakwoods	oakwoods	pobj	in
Lucy's AVarbler	AVarbler	dobj	"
"
Tucson	Tucson	pobj	from
a few hundred feet	feet	pobj	to
Oracle	Oracle	pobj	above
Helminthophila virgin	virgin	attr	"
"
36 Baird	Baird	appos	virgin
Little companies	companies	nsubj	frequented
this species	species	pobj	of
the deciduous trees	trees	dobj	frequented
the lower edge	edge	pobj	in
the Pinebelt	Pinebelt	pobj	of
me	me	dobj	reminding
their habits	habits	pobj	in
the Bush Tits	Tits	pobj	of
Titmice	Titmice	conj	Tits
they	they	nsubj	associate
I	I	nsubj	saw
these birds	birds	pobj	of
the mountains	mountains	pobj	in
it	it	dobj	secure
It	It	nsubj	was
full view	view	pobj	in
its peculiar habit	habit	nsubj	convince
the large pines branches	branches	pobj	on
the trunk	trunk	pobj	near
its deliberate movements	movements	nsubj	convince
characteristic markings	markings	conj	movements
a glass	glass	pobj	with
short range	range	pobj	at
me	me	dobj	convince
the correctness	correctness	pobj	of
my identification	identification	pobj	of
Tucson	Tucson	pobj	around
the valley	valley	pobj	in
Audubon's Warbler	Warbler	conj	frequented
the Catalina	Catalina	pobj	in
the pines	pines	pobj	among
Grace's Warbler	Warbler	conj	frequented
the pines	pines	pobj	in
Blackthroated Gray Warbler	Warbler	conj	frequented
the pines	pines	pobj	in
A young bird	bird	nsubj	is
this race	race	pobj	of
the collection	collection	pobj	in
the lores	lores	nsubj	light
sides	sides	conj	lores
the throat	throat	pobj	of
the lesser wing coverts	coverts	nsubj	edged
rump yellowolive greater wing coverts	coverts	conj	coverts
buff wings	wings	pobj	with
tail	tail	conj	wings
adults	adults	pobj	in
The specimen	specimen	nsubj	moulting
yellow pin feathers	feathers	nsubj	are
the breast	breast	pobj	on
trichas occidentalis Brewst	Brewst	appos	Geothlypis
Western Yellowthroat	Yellowthroat	oprd	"
"
the immediate vicinity	vicinity	pobj	in
running water	water	pobj	of
Tucson	Tucson	pobj	around
Icteria virens longicauda Lawr	Lawr	appos	100
Longtailed Chat	Chat	appos	100
the valley	valley	pobj	in
Painted Redstart	Redstart	attr	"
"
This exquisite species	species	nsubj	was
the Catalina jiine woods	woods	pobj	in
the upper edge	edge	conj	woods
the oak belt	belt	pobj	of
Redfaced Warbler	Warbler	attr	"
"
The above remarks	remarks	nsubj	apply
this species	species	pobj	to
its range	range	nsubj	extend
the Redstart	Redstart	pobj	of
"103.
Mimus polyglottos Linn"	Linn	attr	"
"
"
Mockingbird"	Mockingbird	ROOT	Mockingbird
AVithout exception	exception	attr	"
"
the most abundant bird	bird	appos	exception
the country	country	pobj	in
5000 or 6000 feet	feet	pobj	to
Palmer's Thrasher	Thrasher	attr	"
"
my recollection	recollection	pobj	of
Palmer's Thrasher	Thrasher	nsubj	was
the commonest species	species	attr	was
the genus	genus	pobj	of
Bendire's Thrasher	Thrasher	attr	"
"
the plains	plains	pobj	from
4000 feet	feet	pobj	to
Harporhyncus crissalis Henry	Henry	appos	106
abundance	abundance	pobj	in
a similar range	range	pobj	with
H. hencUrei	hencUrei	pobj	to
all dry situations	situations	pobj	in
Tucson	Tucson	pobj	between
Oracle	Oracle	conj	Tucson
rocky situations	situations	pobj	in
the oak belt	belt	pobj	within
A pair	pair	attr	"
"
top	top	pobj	on
a spur	spur	pobj	of
Mt.	Mt.	pobj	of
"
Lemon"	Lemon	appos	pair
Catherpes mexicanus punctulatus Ridgw	Ridgw	attr	"
"
Dotted Cafion AVren	AVren	attr	"
"
these enchanting songsters	songsters	pobj	of
the rocks	rocks	pobj	among
a hill	hill	pobj	of
Tucson	Tucson	pobj	near
the waters	waters	nsubj	flowed
the Santa Clara	Clara	pobj	of
They	They	nsubj	were
this locality	locality	pobj	in
I	I	nsubj	discovered
them	them	dobj	discovered
the bouldercovered foothills	foothills	pobj	in
Oracle	Oracle	pobj	about
them	them	nsubj	breeding
the Santa Catalinas	Catalinas	pobj	in
one pair	pair	nsubj	located
a pile	pile	pobj	in
rocks	rocks	pobj	of
our camp	camp	pobj	above
Thryotliorus bewickii	bewickii	appos	110
bairdi Salv	Salv	appos	bewickii
Baird's AVren	AVren	appos	Goilm
the oak belt	belt	pobj	Throughout
some distance	distance	pobj	for
the pines	pines	pobj	in
this species	species	nsubj	was
I	I	nsubj	find
a lower elevation	elevation	pobj	at
aedonaztecus Baird	Baird	appos	Troglodytes
Western House Wren	Wren	appos	Troglodytes
the pine clad areas	areas	pobj	in
the Catalinas	Catalinas	pobj	of
its ranoe	ranoe	nsubj	overlans
Baird's Wren	Wren	pobj	of
Mexican Creeper	Creeper	attr	"
"
the higher pines	pines	pobj	in
Mt.	Mt.	pobj	on
Lemon	Lemon	pobj	"
"
7000 to 8000 feet	feet	appos	Lemon
"
113.
Sitta carolinensis aeuleata Cass..
Slenderbilled Nuthatch"	Nuthatch	ROOT	Nuthatch
the pines	pines	pobj	throughout
the highest mountain tops	tops	pobj	to
"
Pygmy Nuthatch"	Nuthatch	ROOT	Nuthatch
preceding species	species	pobj	with
"
115.
Parus wollweheri Bonap"	Bonap	ROOT	Bonap
Bridled Titmouse	Titmouse	attr	"
"
the oakbelt	oakbelt	pobj	in
lower edge	edge	conj	oakbelt
pine belt	belt	pobj	of
"116.
Parus gambeli Ridgw"	Ridgw	attr	"
"
"
Mountain Chickadee"	Chickadee	ROOT	Chickadee
the Catalina mountains	mountains	pobj	on
flocks	flocks	pobj	in
7000 feet	feet	pobj	above
the tops	tops	pobj	in
the lofty firs	firs	pobj	of
Psaltriparus plumbeus Baird	Baird	appos	117
every whei'e	whei'e	dobj	Found
the limits	limits	pobj	within
the oak belt	belt	pobj	of
Auriparus flaviceps Sund	Sund	ROOT	Sund
Verdin	Verdin	attr	"
"
I	I	nsubj	saw
the Verdin	Verdin	dobj	saw
the fringe	fringe	pobj	in
the oak growth	growth	pobj	of
it	it	nsubj	became
I	I	nsubj	neared
Tucson	Tucson	dobj	neared
it	it	nsubj	was
I	I	nsubj	found
a male	male	dobj	found
this species	species	pobj	of
the fir tops	tops	pobj	among
the summit	summit	pobj	near
Mt.	Mt.	pobj	of
Lemon	Lemon	pobj	"
"
It	It	nsubj	continued
a sweet song	song	dobj	utter
I	I	nsubj	watched
it	it	dobj	watched
my glass	glass	pobj	through
Western Gnateateher	Gnateateher	attr	"
"
Breeds	Breeds	nsubj	common
the lower edge	edge	pobj	in
the pines	pines	pobj	of
Polioptila plumbea Baird	Baird	appos	121
the foothills	foothills	pobj	among
higher uplands	uplands	conj	foothills
the valleys	valleys	pobj	in
the lower pine belt	belt	pobj	In
it	it	nsubjpass	replaced
the other species	species	pobj	by
Turdus aonalaschkae auduboni Baird	Baird	appos	122
These thrushes	thrushes	nsubj	sang
my ascent	ascent	pobj	during
Mount Lemon	Lemon	pobj	of
the opposing canons	canons	pobj	from
the same measured cadences	cadences	pobj	with
pauses	pauses	conj	cadences
the song	song	dobj	characterize
This species	species	nsubj	seem
this disirict V.	V.	pobj	from
S. pallasii	pallasii	dobj	seem
the first day	day	pobj	on
July	July	pobj	of
what	what	dobj	observed
I	I	nsubj	observed
they	they	nsubj	were
the breeding season	season	nsubj	was
its height	height	pobj	at
"
Western Robin"	Robin	ROOT	Robin
A small number	number	nsubj	found
the Catalina pines	pines	pobj	among
"
AVestern Bluebird"	Bluebird	ROOT	Bluebird
the pine belt	belt	pobj	in
all elevations	elevations	pobj	at
their proper place	place	pobj	from
the list	list	pobj	in
"
Zenaidura macroura Linn"	Linn	ROOT	Linn
Mourning Dove	Dove	appos	Linn
Oracle	Oracle	appos	Linn
Tucson	Tucson	conj	Oracle
"
Melopelia leucoptera Linn"	Linn	ROOT	Linn
"
Whitewinged Dove"	Dove	ROOT	Dove
